type,word1,word2,word3,word4,correct_answer
neutral,test,test,test,zxcv,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,zxcv,z
neutral,test,test,test,practice,m
neutral,test,test,test,zxcv,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,test,test,test,zxcv,z
neutral,test,test,test,zxcv,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,test,test,test,zxcv,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,test,test,test,practice,m
neutral,test,test,test,zxcv,z
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,zxcv,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,zxcv,zxcv,zxcv,test,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,practice,m
neutral,test,test,test,zxcv,z
neutral,test,test,test,practice,m
neutral,test,test,test,zxcv,z
neutral,test,test,test,zxcv,z
neutral,test,test,test,zxcv,z
neutral,test,test,test,zxcv,z
neutral,test,test,test,practice,m
neutral,test,test,test,zxcv,z
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,practice,m
neutral,test,test,test,zxcv,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,test,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,test,m
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,zxcv,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,test,m
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,zxcv,z
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,test,m
neutral,test,test,test,practice,m
neutral,test,test,test,zxcv,z
neutral,test,test,test,practice,m
neutral,test,test,test,practice,m
neutral,test,test,test,zxcv,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,test,test,test,zxcv,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,zxcv,zxcv,zxcv,test,m
neutral,zxcv,zxcv,zxcv,asdf,z
neutral,test,test,test,practice,m
neutral,zxcv,zxcv,zxcv,test,m
